Date,ODA.AFG_NGDP_R - Value,ODA.ALB_NGDP_R - Value,ODA.DZA_NGDP_R - Value,ODA.AGO_NGDP_R - Value,ODA.ATG_NGDP_R - Value,ODA.ARG_NGDP_R - Value,ODA.ARM_NGDP_R - Value,ODA.AUS_NGDP_R - Value,ODA.AUT_NGDP_R - Value,ODA.AZE_NGDP_R - Value,ODA.BHR_NGDP_R - Value,ODA.BGD_NGDP_R - Value,ODA.BRB_NGDP_R - Value,ODA.BLR_NGDP_R - Value,ODA.BEL_NGDP_R - Value,ODA.BLZ_NGDP_R - Value,ODA.BEN_NGDP_R - Value,ODA.BTN_NGDP_R - Value,ODA.BOL_NGDP_R - Value,ODA.BIH_NGDP_R - Value,ODA.BWA_NGDP_R - Value,ODA.BRA_NGDP_R - Value,ODA.BRN_NGDP_R - Value,ODA.BGR_NGDP_R - Value,ODA.BFA_NGDP_R - Value,ODA.BDI_NGDP_R - Value,ODA.KHM_NGDP_R - Value,ODA.CMR_NGDP_R - Value,ODA.CAN_NGDP_R - Value,ODA.CPV_NGDP_R - Value,ODA.CAF_NGDP_R - Value,ODA.TCD_NGDP_R - Value,ODA.CHL_NGDP_R - Value,ODA.CHN_NGDP_R - Value,ODA.COL_NGDP_R - Value,ODA.COM_NGDP_R - Value,ODA.COD_NGDP_R - Value,ODA.COG_NGDP_R - Value,ODA.CRI_NGDP_R - Value,ODA.HRV_NGDP_R - Value,ODA.CYP_NGDP_R - Value,ODA.CZE_NGDP_R - Value,ODA.DNK_NGDP_R - Value,ODA.DJI_NGDP_R - Value,ODA.DMA_NGDP_R - Value,ODA.DOM_NGDP_R - Value,ODA.ECU_NGDP_R - Value,ODA.EGY_NGDP_R - Value,ODA.SLV_NGDP_R - Value,ODA.GNQ_NGDP_R - Value,ODA.ERI_NGDP_R - Value,ODA.EST_NGDP_R - Value,ODA.ETH_NGDP_R - Value,ODA.FJI_NGDP_R - Value,ODA.FIN_NGDP_R - Value,ODA.FRA_NGDP_R - Value,ODA.GAB_NGDP_R - Value,ODA.GMB_NGDP_R - Value,ODA.GEO_NGDP_R - Value,ODA.DEU_NGDP_R - Value,ODA.GHA_NGDP_R - Value,ODA.GRC_NGDP_R - Value,ODA.GRD_NGDP_R - Value,ODA.GTM_NGDP_R - Value,ODA.GIN_NGDP_R - Value,ODA.GNB_NGDP_R - Value,ODA.GUY_NGDP_R - Value,ODA.HTI_NGDP_R - Value,ODA.HND_NGDP_R - Value,ODA.HKG_NGDP_R - Value,ODA.HUN_NGDP_R - Value,ODA.ISL_NGDP_R - Value,ODA.IND_NGDP_R - Value,ODA.IDN_NGDP_R - Value,ODA.IRN_NGDP_R - Value,ODA.IRQ_NGDP_R - Value,ODA.IRL_NGDP_R - Value,ODA.ISR_NGDP_R - Value,ODA.ITA_NGDP_R - Value,ODA.CIV_NGDP_R - Value,ODA.JAM_NGDP_R - Value,ODA.JPN_NGDP_R - Value,ODA.JOR_NGDP_R - Value,ODA.KAZ_NGDP_R - Value,ODA.KEN_NGDP_R - Value,ODA.KIR_NGDP_R - Value,ODA.KWT_NGDP_R - Value,ODA.KGZ_NGDP_R - Value,ODA.LAO_NGDP_R - Value,ODA.LVA_NGDP_R - Value,ODA.LBN_NGDP_R - Value,ODA.LSO_NGDP_R - Value,ODA.LBR_NGDP_R - Value,ODA.LBY_NGDP_R - Value,ODA.LTU_NGDP_R - Value,ODA.LUX_NGDP_R - Value,ODA.MKD_NGDP_R - Value,ODA.MDG_NGDP_R - Value,ODA.MWI_NGDP_R - Value,ODA.MYS_NGDP_R - Value,ODA.MDV_NGDP_R - Value,ODA.MLI_NGDP_R - Value,ODA.MLT_NGDP_R - Value,ODA.MRT_NGDP_R - Value,ODA.MUS_NGDP_R - Value,ODA.MEX_NGDP_R - Value,ODA.MDA_NGDP_R - Value,ODA.MNG_NGDP_R - Value,ODA.MNE_NGDP_R - Value,ODA.MAR_NGDP_R - Value,ODA.MOZ_NGDP_R - Value,ODA.MMR_NGDP_R - Value,ODA.NAM_NGDP_R - Value,ODA.NPL_NGDP_R - Value,ODA.NLD_NGDP_R - Value,ODA.NZL_NGDP_R - Value,ODA.NIC_NGDP_R - Value,ODA.NER_NGDP_R - Value,ODA.NGA_NGDP_R - Value,ODA.NOR_NGDP_R - Value,ODA.OMN_NGDP_R - Value,ODA.PAK_NGDP_R - Value,ODA.PAN_NGDP_R - Value,ODA.PNG_NGDP_R - Value,ODA.PRY_NGDP_R - Value,ODA.PER_NGDP_R - Value,ODA.PHL_NGDP_R - Value,ODA.POL_NGDP_R - Value,ODA.PRT_NGDP_R - Value,ODA.QAT_NGDP_R - Value,ODA.ROU_NGDP_R - Value,ODA.RUS_NGDP_R - Value,ODA.RWA_NGDP_R - Value,ODA.KNA_NGDP_R - Value,ODA.LCA_NGDP_R - Value,ODA.VCT_NGDP_R - Value,ODA.WSM_NGDP_R - Value,ODA.SMR_NGDP_R - Value,ODA.STP_NGDP_R - Value,ODA.SAU_NGDP_R - Value,ODA.SEN_NGDP_R - Value,ODA.SRB_NGDP_R - Value,ODA.SYC_NGDP_R - Value,ODA.SLE_NGDP_R - Value,ODA.SGP_NGDP_R - Value,ODA.SVK_NGDP_R - Value,ODA.SVN_NGDP_R - Value,ODA.SLB_NGDP_R - Value,ODA.ZAF_NGDP_R - Value,ODA.KOR_NGDP_R - Value,ODA.SSD_NGDP_R - Value,ODA.ESP_NGDP_R - Value,ODA.LKA_NGDP_R - Value,ODA.SDN_NGDP_R - Value,ODA.SUR_NGDP_R - Value,ODA.SWZ_NGDP_R - Value,ODA.SWE_NGDP_R - Value,ODA.CHE_NGDP_R - Value,ODA.SYR_NGDP_R - Value,ODA.TJK_NGDP_R - Value,ODA.TZA_NGDP_R - Value,ODA.THA_NGDP_R - Value,ODA.BHS_NGDP_R - Value,ODA.TLS_NGDP_R - Value,ODA.TGO_NGDP_R - Value,ODA.TON_NGDP_R - Value,ODA.TTO_NGDP_R - Value,ODA.TUN_NGDP_R - Value,ODA.TUR_NGDP_R - Value,ODA.TKM_NGDP_R - Value,ODA.TUV_NGDP_R - Value,ODA.ARE_NGDP_R - Value,ODA.UGA_NGDP_R - Value,ODA.GBR_NGDP_R - Value,ODA.UKR_NGDP_R - Value,ODA.URY_NGDP_R - Value,ODA.USA_NGDP_R - Value,ODA.UZB_NGDP_R - Value,ODA.VUT_NGDP_R - Value,ODA.VEN_NGDP_R - Value,ODA.VNM_NGDP_R - Value,ODA.YEM_NGDP_R - Value,ODA.ZMB_NGDP_R - Value,ODA.ZWE_NGDP_R - Value
2019-12-31,603.538,852.096,8395.882,2103.699,2.684,533.782,4141.961,1831.696,298.979,29.256,13.25,9381.121,1.154,186077.856,400.022,3.081,3796.949,85.713,51.639,30.834,97.092,1402.049,15.87,62.932,6109.212,2297.312,57402.159,14172.706,1934.425,171.526,759.29,6921.181,146376.565,26810.935,640874.566,181.727,14158.709,2282.683,3187.12,283.815,14.528,4048.733,1720.38,162.489,1.324,531.065,82.545,759.694,10.724,3580.738,10.15,15.624,837.931,5.933,170.806,2001.46,7271.924,33.004,17.321,2708.707,45.133,189.987,2.1,272.386,14876.174,458.881,457.665,19.01,211.702,2544.924,24417.529,1066.625,89322.834,3898677.822,588386.012,116257.905,186.811,1182.365,1450.277,14213.748,834.164,558304.042,13.936,23953.724,2425.719,0.187,25.116,48.851,61848.512,18.739,56071.124,16.632,1.379,62.728,107.042,38.413,463.217,9485.763,1031.068,1056.253,27.855,2405.5,6.394,666.906,252.126,16555.348,13.828,9989.96,3.029,964.388,276.786,76369.112,63.948,918.07,599.889,177.119,193.091,4040.698,20021.554,3204.52,17.228,12658.221,40.416,21.305,34883.462,350.568,9707.097,1638.394,169.263,535.803,417.422,49715.157,4429.82,1.742,3.228,1.727,1.177,1.541,1572.308,1629.511,7329.021,3390.128,9.03,15345.127,402.828,79.494,25.488,5.527,2363.577,1416951.811,38.909,1083.776,4790.041,134.358,13.442,15.601,4185.196,628.496,,0.28,30747.084,6421.897,9.357,2.151,1873.845,0.876,99.321,69.827,148.314,70.521,0.038,1367.994,36357.072,1773.99,,792.537,18541.988,1282.388,77.296,63.577,3574195.99,469.489,31.301,14.875
2018-12-31,571.601,813.845,8048.029,1972.46,2.627,523.316,3944.725,1777.638,294.865,28.07,12.803,8767.403,1.127,181042.014,394.19,3.006,3622.352,79.351,49.18,29.648,93.552,1354.453,15.335,61.099,5711.002,2180.517,53405.356,13452.849,1895.915,164.91,718.311,6685.572,140073.268,25169.841,613039.851,174.737,13412.549,2225.496,3049.875,278.25,14.251,3952.339,1690.56,153.581,1.3,510.639,79.752,730.182,10.514,3954.141,9.799,15.066,786.874,5.794,167.841,1963.664,6874.67,31.28,16.495,2674.297,43.467,184.86,2.049,263.175,12647.742,439.98,443.239,18.28,205.536,2446.756,24000.535,1043.018,83662.748,3677997.945,574871.312,106477.252,182.232,1142.728,1436.629,13443.447,812.233,552090.366,13.336,22727.498,2276.685,0.183,24.176,46.42,57528.037,18.022,53914.542,15.823,1.285,60.627,103.162,37.579,445.194,9023.542,973.925,1005.956,26.592,2303.619,6.288,602.578,242.355,15956.596,13.296,9184.541,2.939,913.246,256.759,70910.032,61.104,874.4,587.822,172.718,185.664,3731.129,18770.356,3138.629,16.621,12053.19,38.198,20.539,33381.303,331.336,9155.585,1581.152,166.205,503.482,403.207,48502.593,4120.763,1.69,3.157,1.672,1.155,1.498,1483.31,1562.702,6969.611,3259.739,8.73,14612.15,388.162,76.732,25.019,5.336,2293.773,1365569.794,36.772,1070.209,4497.691,128.788,12.885,15.285,4087.03,617.687,,0.264,28771.917,6146.937,9.146,1.972,1781.221,0.861,97.755,66.818,143.32,65.139,0.037,1313.418,33862.647,1731.705,751.293,763.48,18139.658,1215.534,74.323,62.947,3371883.009,448.601,29.538,14.303
2017-12-31,542.993,778.799,7718.579,1850.95,2.57,513.052,3756.881,1726.207,290.682,26.993,12.365,8193.834,1.102,176184.3,388.786,2.932,3456.005,71.181,46.838,28.507,89.965,1310.645,14.516,59.319,5339.276,2068.87,49698.506,12765.02,1857.036,158.605,678.933,6473.024,134041.405,23605.0,586649.923,168.015,12595.356,2126.376,2918.541,272.527,13.937,3858.739,1661.395,144.888,1.269,490.999,77.057,701.845,10.308,4284.375,9.491,14.532,735.237,5.661,164.93,1926.672,6479.266,29.646,15.708,2639.866,40.719,178.871,2.001,254.275,10764.83,422.547,425.183,17.577,199.549,2353.177,23590.21,1019.796,78384.026,3469809.382,561741.857,97379.91,177.75,1104.899,1423.109,12577.862,791.265,546592.26,12.762,21557.236,2137.687,0.179,23.275,44.142,53525.408,17.331,51840.906,14.995,1.195,55.132,99.41,36.786,427.931,8587.392,916.351,958.053,25.4,2199.844,6.186,571.095,233.125,15379.201,12.785,8608.633,2.856,864.737,238.105,65779.251,58.406,833.08,576.577,168.517,178.523,3397.181,17610.1,3074.772,16.043,11477.078,36.068,19.855,31943.831,313.159,8635.797,1526.311,163.202,472.401,389.702,47319.602,3833.268,1.64,3.094,1.619,1.149,1.457,1399.349,1499.183,6628.616,3164.795,8.433,13874.431,374.267,74.065,24.564,5.152,2226.198,1316182.587,34.898,1057.382,4223.184,122.103,12.308,14.975,3990.655,606.765,,0.25,26927.83,5882.31,8.926,1.786,1688.361,0.847,96.252,63.94,138.494,60.429,0.037,1262.127,31566.56,1690.647,736.75,735.55,17681.166,1152.165,71.327,62.324,3181021.707,430.865,27.791,13.753
2016-12-31,516.838,745.262,7404.382,1792.34,2.515,502.992,3577.982,1676.411,286.568,26.15,11.95,7657.789,1.082,171602.835,383.597,2.861,3297.494,65.534,44.607,27.411,86.481,1270.682,13.757,57.591,4990.59,1966.791,46214.772,12121.288,1816.676,152.52,642.32,6248.586,128269.287,22110.065,561383.938,161.552,11742.697,1917.426,2792.862,267.341,13.618,3772.619,1633.916,136.045,1.242,472.115,74.451,675.12,10.106,4534.718,9.305,14.029,687.035,5.532,162.273,1892.234,6105.725,28.099,14.962,2604.424,37.892,172.848,1.962,245.677,10233.672,405.924,407.507,16.902,193.737,2264.361,23193.653,990.376,73496.526,3273405.077,548973.007,89448.442,173.393,1067.648,1406.929,11716.376,772.531,541222.189,12.212,20431.767,2008.484,0.176,22.412,42.005,49707.281,16.646,49847.025,14.23,1.11,50.242,95.896,35.986,411.534,8175.717,862.638,912.431,24.258,2102.749,6.088,525.817,224.049,14822.722,12.293,7898.661,2.775,820.542,220.603,61019.713,55.81,793.732,566.199,164.343,171.657,3035.288,16472.855,3013.123,15.45,10961.574,33.962,19.204,30568.259,295.991,8145.885,1474.079,160.316,440.806,377.032,46165.466,3565.83,1.59,3.038,1.568,1.155,1.42,1320.14,1438.242,6306.419,3087.605,8.14,13184.974,361.238,71.492,24.139,4.977,2160.566,1267754.891,33.787,1045.133,3965.431,116.074,11.762,14.671,3896.548,594.751,,0.236,25173.846,5616.643,8.709,1.618,1595.805,0.832,94.766,61.186,133.83,56.04,0.036,1213.955,29453.135,1653.355,723.405,709.917,17181.916,1092.099,68.387,61.707,3003797.646,414.779,26.065,13.209
2015-12-31,492.082,715.223,7099.009,1693.257,2.461,495.554,3417.365,1628.387,281.946,25.272,11.571,7173.044,1.065,167023.139,378.721,2.791,3146.369,60.577,42.483,26.433,83.088,1233.624,13.261,55.914,4663.142,1873.025,43074.885,11519.248,1774.926,146.603,607.683,5967.687,123063.693,20669.447,537096.35,155.391,10878.787,1773.426,2677.72,263.91,13.369,3693.795,1607.206,127.742,1.217,453.52,71.933,648.652,9.927,4494.658,9.122,13.556,642.032,5.408,159.868,1860.42,5718.834,26.628,14.249,2568.374,35.045,166.671,1.929,237.369,9733.034,390.08,388.58,16.252,187.73,2178.548,22810.23,961.169,69024.592,3088117.998,536603.363,82672.728,169.13,1032.824,1389.56,10883.172,756.641,537622.649,11.686,19334.958,1888.064,0.173,21.758,40.017,46027.549,15.974,47929.832,13.538,1.03,40.033,92.56,35.293,396.403,7821.437,810.098,868.982,23.18,2004.813,5.988,494.606,215.105,14286.497,11.764,7472.878,2.704,780.118,204.897,56604.558,53.37,759.491,556.481,160.182,165.055,2656.603,15415.383,2954.911,14.888,10549.09,31.918,18.59,29251.923,279.756,7669.641,1426.294,157.667,410.403,366.451,45039.479,3317.051,1.541,2.995,1.519,1.134,1.387,1251.318,1380.183,5998.654,3027.064,7.853,12379.363,348.566,69.074,23.787,4.812,2094.422,1221626.57,29.193,1033.479,3723.409,109.454,11.26,14.374,3799.945,583.032,,0.224,23502.103,5359.732,8.47,1.472,1503.81,0.818,93.173,58.55,129.348,51.151,0.035,1168.148,27497.591,1615.362,711.806,687.389,16675.941,1030.282,65.442,61.096,2839128.21,399.277,24.408,12.603
2014-12-31,470.944,692.375,6816.573,1604.45,2.415,490.647,3270.206,1585.53,277.108,24.158,11.206,6735.253,1.056,162954.829,374.182,2.723,2990.721,56.321,40.46,25.613,79.595,1201.761,12.873,54.55,4356.343,1787.305,40137.624,10964.9,1733.915,141.653,577.096,5560.36,118273.118,19266.2,514096.427,149.467,10023.092,1676.333,2572.258,262.858,13.256,3620.739,1580.771,119.997,1.197,435.658,69.502,623.162,9.761,4899.023,8.949,13.134,597.334,5.286,158.118,1832.385,5378.159,24.888,13.571,2528.94,33.253,161.947,1.906,229.342,9271.446,375.577,373.683,15.627,182.085,2098.008,22420.956,932.655,64901.143,2918826.085,524282.766,77458.077,165.06,998.684,1373.78,10109.699,743.993,532485.82,11.237,18215.605,1775.812,0.169,21.133,38.134,42694.842,15.303,46760.811,12.833,0.947,30.839,89.47,34.648,383.235,7522.337,760.645,827.602,22.19,1909.553,5.883,464.207,206.742,13805.324,11.257,6937.251,2.627,743.763,189.896,52508.866,51.076,726.725,547.612,155.508,158.706,2507.948,14403.928,2901.155,14.404,10172.608,29.857,15.288,27992.27,264.399,7201.221,1380.707,155.413,383.281,357.548,44017.633,3085.629,1.496,2.964,1.476,1.114,1.357,1186.083,1324.485,5722.704,2982.298,7.567,11171.65,336.359,67.094,23.563,4.646,2040.162,1176944.517,24.83,1023.63,3496.159,104.613,10.824,14.08,3703.779,570.35,,0.211,21964.312,5164.586,8.241,1.353,1418.664,0.804,91.18,56.029,125.505,45.482,0.035,1121.198,25755.039,1576.537,701.088,667.398,16197.557,967.401,62.624,61.713,2686024.796,382.32,22.791,12.064
2013-12-31,456.172,678.134,6533.216,1523.607,2.376,488.204,3136.651,1545.003,272.495,23.016,10.704,6353.21,1.069,160427.469,369.672,2.657,2835.322,52.956,38.497,25.111,76.457,1180.237,12.216,53.691,4108.476,1706.476,37427.23,10466.085,1694.941,137.518,568.777,5018.581,114125.814,17915.638,492016.053,143.773,9222.351,1550.502,2478.09,264.492,13.917,3553.645,1557.705,113.213,1.177,417.053,66.723,609.412,9.607,5020.712,8.747,12.831,555.839,5.169,157.567,1813.704,5086.344,23.18,12.926,2486.434,31.739,160.981,1.885,221.586,8874.316,364.623,358.331,15.026,176.782,2022.237,21984.684,908.293,61565.416,2770345.1,516509.419,73158.0,162.303,967.388,1365.227,9347.417,734.627,525390.2,10.857,17237.803,1671.238,0.165,20.606,36.52,39724.052,14.747,46297.833,12.157,0.885,33.45,86.606,33.939,371.504,7299.745,717.012,786.694,21.298,1793.737,5.778,434.52,199.3,13404.644,10.877,6144.175,2.555,715.788,175.274,48709.523,48.966,695.203,543.095,150.606,152.602,2354.314,13444.738,2850.12,13.93,9866.547,27.851,14.416,26710.182,250.57,6763.768,1339.349,153.621,362.045,349.704,43441.04,2870.353,1.456,2.954,1.442,1.096,1.357,1129.603,1272.446,5472.597,2953.286,7.297,9810.575,324.592,65.587,23.486,4.466,1993.433,1134853.2,23.188,1014.825,3267.438,101.889,10.411,13.796,3603.972,558.376,,0.199,20489.749,5038.842,8.055,1.24,1338.517,0.791,89.237,54.397,122.723,41.086,0.034,1074.403,24214.52,1532.431,688.622,649.309,15761.3,904.113,60.506,62.023,2543584.087,363.85,21.237,11.573
2012-12-31,440.336,673.42,6361.196,1464.17,2.365,468.301,3039.694,1508.339,271.545,21.754,10.207,6007.345,1.076,158996.5,368.755,2.615,2683.819,50.458,36.046,24.813,73.56,1153.882,12.369,53.233,3847.365,1633.433,34973.729,10001.177,1661.559,136.844,889.369,4842.748,109498.443,16639.213,471892.0,138.886,8501.364,1483.417,2394.353,267.172,14.806,3584.924,1551.026,107.822,1.168,400.658,64.01,596.89,9.456,5278.88,8.632,12.725,506.533,5.016,159.772,1808.82,4803.562,21.796,12.521,2473.144,30.099,167.436,1.858,214.093,8653.87,363.537,341.905,14.407,172.369,1964.414,21742.739,882.984,58998.5,2618938.4,525255.0,70201.3,162.855,936.209,1391.018,8648.383,731.007,517424.8,10.515,16269.51,1583.205,0.16,20.438,33.039,36713.541,14.165,45839.439,11.493,0.82,36.916,83.879,33.288,360.323,7131.263,683.068,751.47,20.53,1763.207,5.642,407.4,193.307,13263.601,9.992,5498.482,2.472,684.691,163.58,45311.184,46.943,670.735,547.538,147.127,146.451,2273.565,12652.089,2828.754,13.258,9521.683,25.787,13.785,23637.329,238.59,6311.671,1318.905,155.726,341.12,337.944,42890.201,2733.669,1.432,3.0,1.412,1.1,1.401,1086.157,1225.891,5259.679,2882.478,7.047,8434.111,311.884,64.975,23.749,4.338,1956.444,1104214.7,18.64,1027.362,3045.143,98.584,9.945,13.422,3549.709,547.623,,0.185,19155.765,4898.189,7.907,1.144,1267.187,0.783,87.811,52.967,117.675,37.3,0.034,1025.623,22838.447,1505.993,688.28,623.114,15470.725,837.142,58.858,61.409,2412778.384,348.529,20.027,11.241
2011-12-31,386.368,664.778,6157.911,1391.947,2.301,459.571,2837.273,1456.092,269.201,21.293,9.871,5660.424,1.076,156290.5,369.258,2.514,2546.504,47.375,34.272,25.117,70.61,1142.099,12.253,52.922,3530.055,1570.334,32596.894,9563.275,1633.64,135.489,854.236,4447.692,103839.598,15456.403,452815.0,134.893,7933.495,1428.938,2277.433,272.263,15.172,3621.908,1556.61,102.843,1.182,385.664,60.883,583.957,9.277,5114.342,8.066,12.243,466.648,4.933,161.399,1808.569,4551.437,20.704,11.792,2451.178,27.892,179.998,1.892,207.931,8335.962,369.074,326.194,14.003,165.958,1934.433,22110.774,870.8,56330.5,2464566.1,556570.0,63650.4,162.6,905.847,1424.752,7879.563,734.535,510044.5,10.244,15494.772,1514.203,0.156,19.245,33.339,34033.736,13.463,45162.009,10.841,0.757,18.053,80.918,33.347,361.714,6956.959,670.425,711.35,20.351,1762.803,5.594,380.851,187.15,12764.45,10.066,4891.84,2.536,666.725,152.528,42228.504,44.699,639.695,554.453,143.431,139.206,2047.162,11870.585,2751.861,12.629,9123.771,23.274,12.748,23933.467,224.495,5908.999,1293.823,160.916,321.074,335.631,41479.885,2531.905,1.444,3.039,1.391,1.069,1.478,1044.382,1158.545,5084.128,2927.056,6.854,7323.584,306.071,63.825,24.369,4.137,1909.343,1082095.5,35.54,1044.522,2863.691,101.631,9.49,13.177,3517.065,541.938,,0.172,17913.803,4599.655,7.765,1.047,1196.453,0.778,86.731,51.126,115.175,33.575,0.034,982.725,22221.554,1502.216,687.232,599.521,15052.375,773.699,57.842,58.138,2292483.366,340.384,18.673,10.167
2010-12-31,362.857,644.914,5988.556,1339.459,2.35,422.136,2709.916,1419.447,261.781,21.273,9.668,5316.79,1.068,148081.3,362.84,2.462,2464.551,43.041,32.586,24.879,66.548,1111.72,11.846,51.966,3362.857,1507.18,30441.776,9186.437,1593.357,130.317,826.941,4444.01,98210.916,14141.28,424599.0,131.954,7423.873,1381.817,2179.148,272.904,15.106,3557.216,1540.111,98.444,1.18,369.117,56.481,573.767,9.076,4870.893,7.422,11.175,418.947,4.803,156.965,1772.639,4256.827,21.634,11.003,2370.599,24.252,193.765,1.878,199.474,8022.386,350.367,309.373,13.27,159.828,1846.077,21768.82,848.075,52823.9,2314458.8,542174.0,57751.6,159.148,866.23,1418.376,8270.408,724.359,512364.2,9.986,14413.741,1450.672,0.152,18.104,31.465,31500.909,12.784,44276.479,10.395,0.702,47.603,76.302,32.724,351.963,6852.096,642.492,676.655,19.113,1715.935,5.5,366.251,180.299,12277.659,9.425,4162.785,2.457,635.063,142.128,39872.546,42.296,618.529,549.265,140.803,132.013,2001.136,11057.266,2722.98,12.086,8801.394,20.994,11.519,22937.808,210.079,5701.54,1237.862,162.953,284.232,328.541,39769.784,2339.168,1.472,2.997,1.387,1.054,1.615,995.185,1067.094,4981.184,2881.891,6.352,6910.512,288.748,61.977,24.197,3.737,1843.008,1043666.3,,1043.978,2645.542,102.824,9.013,13.257,3416.863,532.407,1469.703,0.161,16828.563,4596.112,7.638,0.934,1141.748,0.764,89.029,52.136,105.886,29.261,0.031,946.021,20928.032,1485.616,653.302,562.768,14779.35,714.403,57.143,55.808,2157828.497,389.968,17.479,9.085
